Date,Gross,Take Home,Hours,PaySheet,Add On Amount ,Stop Count,Add On Avg,Commission Earned,Effetive Hourly Rate,Date Processed 📅,Debug Log,,,,,,,,
10/17/2025,$893.12,$687.41,44.25,https://drive.google.com/file/d/1GlSvwXTs2kA1KDY_aQYe6p83KC1R1W3o/view?usp=drivesdk,$753.87,12,$62.82,$188.45,$19.26,✅ Done — 2025-10-22 10:15 PM,https://docs.google.com/open?id=1NCKO0CMFAEnciVWnkyU8bBBIUW1kFW_vWn0w5eJ85lY,,,,,,,,
10/24/2025,$998.70,$767.25,52.25,https://drive.google.com/file/d/1iKPSIEMfn4hMC8hIgNE4oh_BlIO9s11T/view?usp=drivesdk,$440.64,16,$27.54,$110.16,$17.11,✅ Done — 2025-10-27 05:56 PM,https://docs.google.com/open?id=1tLB7LwSOYcUn74sQxZq9kyJ-j_gD0wN9FgyRSrzdOhY,,,,,,,,
10/31/2025,$611.25,$472.94,40.5,https://drive.google.com/file/d/1-IaYvQMAfK8bGMbktdzZ58mgc68l_b7-/view?usp=drivesdk,$0.00,7,$0.00,$0.00,$15.00,✅ Done — 2025-10-31 05:45 AM,https://docs.google.com/open?id=1iLTvhcpUs8bpXXnG00uRuNY_S3NmSHxGX03hA1MwKKI,,,,,,,,
11/07/2025,$670.15,$518.25,42.5,https://drive.google.com/file/d/13UM9bPjEhaH0tXXYTlh0Y75BWp2J7xE_/view?usp=drivesdk,$54.00,7,$7.71,$13.50,$15.32,✅ Done — 2025-11-07 07:02 AM,https://docs.google.com/open?id=1NSh3DWARbSFTWOsIlcaep2aw3M060kWDM97Z4i6EYHE,,,,,,,,
11/14/2025,$856.87,$659.29,48.25,https://drive.google.com/file/d/1Fz4N7wA0SntamnL2ildaFxudA0M1uRKQ/view?usp=drivesdk,$262.53,12,$21.88,$65.63,$16.36,✅ Done — 2025-11-14 06:07 AM,https://docs.google.com/open?id=1vBIQMAFcEDs_KE_dtrUD6MxycGHHzfsJILyp0Es0Ytk,,,,,,,,
11/21/2025,$772.63,$595.62,44.25,https://drive.google.com/file/d/1VA2AkNOLxyemHnhx0KgoiZvKGiBZ7Jzy/view?usp=drivesdk,$293.90,14,$20.99,$73.48,$16.66,✅ Done — 2025-11-21 06:03 AM,https://docs.google.com/open?id=1GubHQ9zARXSS5yplCLyCmy4iVOGW9NpMmmZ9SBdbrT8,,,,,,,,
11/28/2025,$997.15,$765.99,52.25,https://drive.google.com/file/d/16fY4eN6pWooIi1VKRmPlOIGheU4Th8Ck/view?usp=drivesdk,$435.09,17,$25.59,$108.77,$17.08,✅ Done — 2025-11-29 05:33 AM,https://docs.google.com/open?id=1Y6q-0txchFbbrFA1rVmsmgC8cr_31p3a0Ab3dylR8RQ,,,,,Total AddOn Amount,Total Stop Count,Total AddOn Avg,Total Commission Earned
12/05/2025,$812.16,$625.37,44.5,https://drive.google.com/file/d/16zIrJkGbJyWD9CpI9dUX2QYrQUOIRL2O/view?usp=drivesdk,$346.13,14,$24.72,$86.53,$16.94,,,,,,,"$7,790.79",268,$650.25,"$1,921.94"
12/12/2025,$791.95,$610.12,42.5,https://drive.google.com/file/d/1oAPrtaVv3t1CtnjYlmqkV65-lL3jIVdT/view?usp=drivesdk,$567.58,13,$43.66,$141.90,$18.34,,,,,,,Weekly Avg AddOn Amount,Weekly Avg Stop Count,Avg AddOn by Stop,Avg Commission Earned
12/19/2025,,,,,,,,,,,,,,,,$338.73,12,$28.27,$83.56
12/26/2025,,,,,,,,,,,,,,,,,,,
