date,gross,take_home,hours,paysheet_url,addon_amount,stop_count,addon_avg,commission ,effective_hourly_rate,processed_date,week_id,month_id,quarter_id,year,is_bonus_week,notes,Time Per Stop (hrs),Time Per Stop (minutes),4 Pay Forecast Gross,4 Pay Forecast Net
08/15/2025,$479.30,$371.21,30,https://drive.google.com/file/d/1kVrYSYsKp9eYnRwRNwUMieQgPuXGSW2g/view?usp=drivesdk,$117.21,5,$23.44,$29.30,$15.98,08/15/2025,2025-W33,2025-08,2025-Q3,2025,✅,,6,360,$858.00,$702.00
08/22/2025,"$1,013.40",$779.05,55,https://drive.google.com/file/d/1pDXu4qFLkZwIpn_f_2Z4mH9py6Nc7Cv4/view?usp=drivesdk,$267.17,14,$19.08,$66.79,$16.21,08/22/2025,2025-W34,2025-08,2025-Q3,2025,✅,,3.93,235.7,$780.00,$632.00
08/29/2025,"$1,018.90",$782.48,52.5,https://drive.google.com/file/d/1bjMBnUx4mvqVtO-yPF2TxZtuGq4xirni/view?usp=drivesdk,$492.02,9,$54.67,$123.01,$17.34,08/29/2025,2025-W35,2025-08,2025-Q3,2025,✅,,5.83,350,$861.00,$683.00
09/05/2025,$977.30,$751.06,50,https://drive.google.com/file/d/1q30jThpDp5B56OtgJUhQPijEzNZeBqEy/view?usp=drivesdk,$553.81,12,$46.15,$138.45,$17.77,09/05/2025,2025-W36,2025-09,2025-Q3,2025,✅,,4.17,250,$872.00,$681.00
09/12/2025,$831.75,$641.11,45.5,https://drive.google.com/file/d/1IvxovpMI5NYF6ujmdW74szxPtUV1MrtV/view?usp=drivesdk,$87.99,10,$8.80,$22.00,$15.57,09/12/2025,2025-W37,2025-09,2025-Q3,2025,✅,,4.55,273,$872.00,$671.00
09/19/2025,$603.25,$466.50,38.75,https://drive.google.com/file/d/1yAkUmJNHLkNofYac_uq7AIOOsgNUGjyR/view?usp=drivesdk,$87.99,10,$8.80,$22.00,$15.57,✅ Done — 2025-10-26 09:59 AM,2025-W38,2025-09,2025-Q3,2025,✅,,3.88,232.5,$960.00,$738.00
09/26/2025,$993.83,$763.33,50.25,https://drive.google.com/file/d/1g5GmRobo6Ampie5DCy-AGPV1lJxanZ5D/view?usp=drivesdk,$592.40,15,$39.49,$148.10,$17.95,✅ Done — 2025-10-26 12:43 PM,2025-W39,2025-09,2025-Q3,2025,✅,,3.35,201,$858.00,$660.00
10/03/2025,$681.55,$526.42,36.75,https://drive.google.com/file/d/1Zm-zQnYdNDyJ3-lCGLjrCh436geW4RVw/view?usp=drivesdk,$521.19,11,$47.38,$130.30,$18.55,✅ Done — 2025-10-22 10:32 PM,2025-W40,2025-10,2025-Q4,2025,✅,,3.34,200.5,$852.00,$656.00
10/10/2025,$907.05,$697.63,48.75,https://drive.google.com/file/d/1QRtrxFBCh98E2iLpSuTpjyigCxxLFPXt/view?usp=drivesdk,$404.38,15,$26.96,$101.10,$17.07,✅ Done — 2025-10-22 10:13 PM,2025-W41,2025-10,2025-Q4,2025,✅,,3.25,195,$778.00,$599.00
10/17/2025,$893.12,$687.41,44.25,https://drive.google.com/file/d/1GlSvwXTs2kA1KDY_aQYe6p83KC1R1W3o/view?usp=drivesdk,$753.87,12,$62.82,$188.45,$19.26,✅ Done — 2025-10-22 10:15 PM,2025-W42,2025-10,2025-Q4,2025,✅,,3.69,221.3,$796.00,$613.00
10/24/2025,$998.70,$767.25,52.25,https://drive.google.com/file/d/1iKPSIEMfn4hMC8hIgNE4oh_BlIO9s11T/view?usp=drivesdk,$440.64,16,$27.54,$110.16,$17.11,✅ Done — 2025-10-27 05:56 PM,2025-W43,2025-10,2025-Q4,2025,✅,,3.27,195.9,$869.00,$669.00
10/31/2025,$611.25,$472.94,40.5,https://drive.google.com/file/d/1-IaYvQMAfK8bGMbktdzZ58mgc68l_b7-/view?usp=drivesdk,$0.00,7,$0.00,$0.00,$15.00,✅ Done — 2025-10-31 05:45 AM,2025-W44,2025-10,2025-Q4,2025,❌,,5.79,347.1,$870.00,$670.00
11/07/2025,$670.15,$518.25,42.5,https://drive.google.com/file/d/13UM9bPjEhaH0tXXYTlh0Y75BWp2J7xE_/view?usp=drivesdk,$54.00,7,$7.71,$13.50,$15.32,✅ Done — 2025-11-07 07:02 AM,2025-W45,2025-11,2025-Q4,2025,✅,,6.07,364.3,$853.00,$656.00
11/14/2025,$856.87,$659.29,48.25,https://drive.google.com/file/d/1Fz4N7wA0SntamnL2ildaFxudA0M1uRKQ/view?usp=drivesdk,$262.53,12,$21.88,$65.63,$16.36,✅ Done — 2025-11-14 06:07 AM,2025-W46,2025-11,2025-Q4,2025,✅,,4.02,241.3,$793.00,$611.00
11/21/2025,$772.63,$595.62,44.25,https://drive.google.com/file/d/1VA2AkNOLxyemHnhx0KgoiZvKGiBZ7Jzy/view?usp=drivesdk,$293.90,14,$20.99,$73.48,$16.66,✅ Done — 2025-11-21 06:03 AM,2025-W47,2025-11,2025-Q4,2025,✅,,3.16,189.6,$784.00,$604.00
11/28/2025,$997.15,$765.99,52.25,https://drive.google.com/file/d/16fY4eN6pWooIi1VKRmPlOIGheU4Th8Ck/view?usp=drivesdk,$435.09,17,$25.59,$108.77,$17.08,✅ Done — 2025-11-29 05:33 AM,2025-W48,2025-11,2025-Q4,2025,✅,,3.07,184.4,,
12/05/2025,$812.16,$625.37,44.5,https://drive.google.com/file/d/16zIrJkGbJyWD9CpI9dUX2QYrQUOIRL2O/view?usp=drivesdk,$346.13,14,$24.72,$86.53,$16.94,,2025-W49,2025-12,2025-Q4,2025,✅,,3.18,190.7,,
12/12/2025,$791.95,$610.12,42.5,https://drive.google.com/file/d/1oAPrtaVv3t1CtnjYlmqkV65-lL3jIVdT/view?usp=drivesdk,$567.58,13,$43.66,$141.90,$18.34,,2025-W50,2025-12,2025-Q4,2025,✅,,3.27,196.2,,
12/19/2025,,,,,,,,,,,2025-W51,2025-12,2025-Q4,2025,❌,,,,,
12/26/2025,,,,,,,,,,,2025-W52,2025-12,2025-Q4,2025,❌,,,,,
